Age	Place	DivPlace	DIV	DivAge	Time	BostonQualifier	HomeStateOrCountry
52	1180	58	M50-54	50-54	191.65	Y	CAN
38	79	13	M35-39	35-39	157.4	Y	NY
40	262	21	M40-44	40-44	170.07	Y	NJ
33	1434	55	F30-34	30-34	196.47	Y	NY
26	1471	222	M25-29	25-29	197.08	N	NY
30	55	17	M30-34	30-34	153.37	Y	NY
22	268	11	M20-24	20-24	170.32	Y	DC
25	1190	186	M25-29	25-29	191.88	N	NY
26	1591	63	F25-29	25-29	198.88	Y	CA
23	39	1	M20-24	20-24	149.22	Y	MEX
38	2223	356	M35-39	35-39	205.97	N	MEX
48	1481	136	M45-49	45-49	197.23	Y	NY
52	1503	89	M50-54	50-54	197.5	Y	MAR
38	1813	303	M35-39	35-39	201.53	N	IND
42	520	62	M40-44	40-44	178.18	Y	CAN
26	1557	233	M25-29	25-29	198.42	N	NY
33	522	129	M30-34	30-34	178.22	Y	NY
39	1455	248	M35-39	35-39	196.82	N	NJ
50	2234	125	M50-54	50-54	206.03	N	FRA
28	1887	273	M25-29	25-29	202.33	N	NY
40	1443	213	M40-44	40-44	196.62	N	NY
48	519	37	M45-49	45-49	178.17	Y	NJ
24	33	1	F20-24	20-24	146.3	Y	MN
47	1138	97	M45-49	45-49	190.92	Y	CT
31	44	14	M30-34	30-34	150.47	Y	IRL
46	1485	138	M45-49	45-49	197.28	Y	NY
35	1425	239	M35-39	35-39	196.3	N	GA
37	2030	332	M35-39	35-39	204.03	N	GA
48	2097	195	M45-49	45-49	204.7	N	NY
41	2013	290	M40-44	40-44	203.9	N	UKR
26	1814	263	M25-29	25-29	201.53	N	NY
26	1401	52	F25-29	25-29	195.93	Y	NY
37	1879	310	M35-39	35-39	202.27	N	NY
40	978	139	M40-44	40-44	188.17	Y	AR
48	505	36	M45-49	45-49	177.83	Y	GTM
38	980	177	M35-39	35-39	188.2	N	ZAF
33	994	208	M30-34	30-34	188.48	N	MO
34	2290	396	M30-34	30-34	206.6	N	CHL
